series1_h1,series1_h3,series1_h2,series2_h1,series2_h3,series2_h2,series3_h1,series3_h3,series3_h2,series4_h1,series4_h3,series4_h2,series5_h1,series5_h3,series5_h2,series6_h1,series6_h3,series6_h2,series7_h1,series7_h3,series7_h2,series8_h1,series8_h3,series8_h2,series9_h1,series9_h3,series9_h2,age
8,2,1,2,8,1,2,4,9,4,7,1,8,1,2,3,2,9,8,2,1,3,8,1,2,1,9,20
10,0,0,0,10,0,0,0,0,0,10,0,10,0,0,0,0,10,10,0,0,0,10,0,0,0,10,51
5,5,0,1,7,0,2,7,8,2,8,0,7,0,0,1,0,9,7,1,1,1,8,0,1,0,9,21
10,0,0,1,9,0,1,3,9,1,9,0,10,0,0,1,0,9,10,0,0,1,9,0,1,0,9,22
10,0,0,1,9,0,1,5,5,2,8,0,10,0,0,1,0,9,10,0,0,1,9,0,1,0,9,21
10,0,0,1,9,0,1,4,5,1,10,0,10,0,0,1,0,10,10,0,0,1,10,0,1,0,10,22
10,0,0,7,9,0,10,3,2,10,5,2,10,3,2,10,4,2,9,3,3,8,6,2,9,2,6,46
8,2,5,1,9,3,4,7,3,6,7,2,3,8,2,6,3,8,6,5,2,2,8,1,4,2,9,22
9,0,0,1,9,2,0,9,2,1,9,0,9,0,0,3,0,8,9,0,1,1,9,0,2,0,8,21
10,0,0,1,9,0,1,2,9,0,10,0,10,0,0,0,0,10,10,0,0,0,10,0,0,0,10,24
10,0,0,1,9,2,1,1,1,1,9,0,10,0,0,1,0,9,10,0,0,1,9,0,0,0,10,21
7,9,3,0,10,2,0,2,8,7,8,3,9,5,6,4,3,8,9,6,6,8,8,6,8,6,5,20
10,0,0,2,8,0,1,6,9,2,8,0,10,0,0,1,0,9,10,0,0,2,8,0,1,0,9,22
10,0,0,1,9,0,1,4,7,2,9,0,9,0,0,1,0,9,9,0,0,1,9,0,1,0,9,21
5,8,0,4,9,0,3,6,8,6,8,0,10,0,0,6,0,9,10,0,0,6,8,0,5,0,9,20
10,0,0,1,9,0,1,2,7,0,10,0,10,0,0,0,0,10,10,0,0,0,10,0,0,0,10,20
10,0,0,4,9,0,2,5,6,2,9,0,10,0,0,2,0,9,10,0,0,2,9,0,1,0,9,22
10,0,0,2,8,0,1,3,6,1,9,0,10,0,0,10,0,0,10,0,0,1,9,0,1,0,9,20
4,6,0,2,8,0,1,3,6,2,8,0,10,0,0,10,0,0,10,0,0,1,9,0,1,0,9,20